# range -128..128
# sum of line must not exceed the range!

# Bicubic with A = -0.75 (from wikipedia)

# horizontal coefficients
   0, 128,   0,   0
  -5, 127,   6,  -0
  -9, 124,  14,  -1
 -12, 119,  24,  -3
 -14, 113,  34,  -5
 -14, 105,  43,  -6
 -14,  96,  54,  -8
 -13,  86,  65, -10
 -12,  76,  76, -12
 -10,  65,  86, -13
  -8,  54,  96, -14
  -6,  43, 105, -14
  -5,  34, 113, -14
  -3,  24, 119, -12
  -1,  14, 124,  -9
  -0,   6, 127,  -5

# vertical coefficients
   0, 128,   0,   0
  -5, 127,   6,  -0
  -9, 124,  14,  -1
 -12, 119,  24,  -3
 -14, 113,  34,  -5
 -14, 105,  43,  -6
 -14,  96,  54,  -8
 -13,  86,  65, -10
 -12,  76,  76, -12
 -10,  65,  86, -13
  -8,  54,  96, -14
  -6,  43, 105, -14
  -5,  34, 113, -14
  -3,  24, 119, -12
  -1,  14, 124,  -9
  -0,   6, 127,  -5
